time, Quad.Est.E.Yaw
2.804979,-0.033685
2.809979,-0.008303
2.814978,-0.005033
2.819978,-0.001394
2.824978,-0.002446
2.829977,-0.010705
2.834977,-0.009005
2.839977,-0.027265
2.844976,-0.025983
2.849976,-0.008431
2.854975,-0.011503
2.859975,-0.005327
2.864975,-0.005033
2.869974,0.011329
2.874974,0.011535
2.879974,0.018200
2.884973,0.019523
2.889973,0.021594
2.894973,0.022295
2.899972,0.004215
2.904972,0.003017
2.909971,-0.024110
2.914971,-0.025950
2.919971,-0.028060
2.924970,-0.029538
2.929970,-0.025541
2.934970,-0.024871
2.939969,-0.022574
2.944969,-0.020204
2.949969,-0.023960
2.954968,-0.025497
2.959968,-0.018209
2.964967,-0.018776
2.969967,-0.009508
2.974967,-0.004857
2.979966,0.009786
2.984966,0.010819
2.989966,0.021264
2.994965,0.019543
2.999965,0.050772
3.004965,0.050962
3.009964,0.048570
3.014964,0.044708
3.019964,0.041365
3.024963,0.040934
3.029963,0.041094
3.034962,0.039748
3.039962,0.033680
3.044962,0.029657
3.049961,0.041029
3.054961,0.037334
3.059961,0.034708
3.064960,0.034864
3.069960,0.044152
3.074960,0.041707
3.079959,0.029881
3.084959,0.032389
3.089958,0.020452
3.094958,0.020899
3.099958,0.021228
3.104957,0.022123
3.109957,0.044522
3.114957,0.038844
3.119956,0.040852
3.124956,0.042739
3.129956,0.062692
3.134955,0.061925
3.139955,0.075830
3.144954,0.071403
3.149954,0.072422
3.154954,0.070802
3.159953,0.064370
3.164953,0.059136
3.169953,0.030342
3.174952,0.031380
3.179952,0.040890
3.184952,0.046031
3.189951,0.018637
3.194951,0.018410
3.199950,0.014119
3.204950,0.019334
3.209950,0.027422
3.214949,0.030722
3.219949,0.033848
3.224949,0.035069
3.229948,0.033056
3.234948,0.035449
3.239948,0.033651
3.244947,0.034622
3.249947,0.028517
3.254946,0.028594
3.259946,0.029640
3.264946,0.033139
3.269945,0.022041
3.274945,0.022700
3.279945,0.019309
3.284944,0.019486
3.289944,0.028683
3.294944,0.027805
3.299943,0.032681
3.304943,0.034645
3.309942,0.046197
3.314942,0.048908
3.319942,0.012147
3.324941,0.019528
3.329941,0.048002
3.334941,0.049277
3.339940,0.035842
3.344940,0.035901
3.349940,0.031877
3.354939,0.031200
3.359939,0.023541
3.364938,0.024455
3.369938,0.033023
3.374938,0.038980
3.379937,0.017605
3.384937,0.020189
3.389937,0.023720
3.394936,0.027764
3.399936,0.025018
3.404936,0.026564
3.409935,0.043956
3.414935,0.045677
3.419935,0.035078
3.424934,0.040173
3.429934,0.026401
3.434933,0.024627
3.439933,0.010198
3.444933,0.010172
3.449932,0.029677
3.454932,0.029499
3.459932,0.010723
3.464931,0.012462
3.469931,0.032039
3.474931,0.033252
3.479930,0.032101
3.484930,0.028678
3.489929,0.029264
3.494929,0.032531
3.499929,0.021434
3.504928,0.021452
3.509928,0.026231
3.514928,0.031481
3.519927,0.022432
3.524927,0.023477
3.529927,0.013966
3.534926,0.008799
3.539926,0.008343
3.544925,0.009910
3.549925,0.006493
3.554925,0.010451
3.559924,0.008971
3.564924,0.010543
3.569924,0.006730
3.574923,0.009458
3.579923,0.005645
3.584923,0.007502
3.589922,0.003761
3.594922,0.009466
3.599921,0.009431
