time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
2.789980,-0.124266,-0.011745,0.000476
2.794980,nan,-0.013688,0.000546
2.799979,-0.177553,-0.030210,0.000629
2.804979,nan,-0.032978,0.000728
2.809979,0.204150,-0.007508,0.000842
2.814978,nan,-0.004093,0.000965
2.819978,0.017670,-0.000354,0.001092
2.824978,nan,-0.001250,0.001223
2.829977,-0.082922,-0.009401,0.001361
2.834977,nan,-0.007530,0.001503
2.839977,-0.167963,-0.025679,0.001640
2.844976,nan,-0.024240,0.001767
2.849976,0.109857,-0.006591,0.001886
2.854975,nan,-0.009528,0.001995
2.859975,0.077290,-0.003273,0.002092
2.864975,nan,-0.002867,0.002183
2.869974,0.152586,0.013563,0.002267
2.874974,nan,0.013861,0.002340
2.879974,0.081618,0.020580,0.002406
2.884973,nan,0.021978,0.002467
2.889973,0.055587,0.024096,0.002526
2.894973,nan,0.024868,0.002584
2.899972,-0.148926,0.006833,0.002640
2.904972,nan,0.005702,0.002695
2.909971,-0.240100,-0.021383,0.002747
2.914971,nan,-0.023163,0.002797
2.919971,-0.044220,-0.025235,0.002843
2.924970,nan,-0.026663,0.002881
2.929970,0.019042,-0.022641,0.002911
2.934970,nan,-0.021939,0.002936
2.939969,0.000932,-0.019626,0.002954
2.944969,nan,-0.017238,0.002969
2.949969,-0.037266,-0.020981,0.002987
2.954968,nan,-0.022491,0.003011
2.959968,0.042629,-0.015179,0.003044
2.964967,nan,-0.015698,0.003088
2.969967,0.062473,-0.006388,0.003143
2.974967,nan,-0.001658,0.003214
2.979966,0.116211,0.013049,0.003299
2.984966,nan,0.014192,0.003393
2.989966,0.104770,0.024716,0.003493
2.994965,nan,0.023115,0.003592
2.999965,0.272376,0.054422,0.003687
3.004965,nan,0.054720,0.003774
3.009964,0.028593,0.052395,0.003858
3.014964,nan,0.048636,0.003946
3.019964,0.022837,0.045368,0.004045
3.024963,nan,0.045076,0.004169
3.029963,0.038625,0.045358,0.004337
3.034962,nan,0.044262,0.004564
3.039962,-0.017555,0.038416,0.004866
3.044962,nan,0.034828,0.005257
3.049961,0.124194,0.046570,0.005753
3.054961,nan,0.043570,0.006369
3.059961,0.033706,0.041509,0.007115
3.064960,nan,0.042677,0.008002
3.069960,0.100648,0.052757,0.009037
3.074960,nan,0.051684,0.010228
3.079959,-0.044575,0.040900,0.011579
3.084959,nan,0.045171,0.013100
3.089958,-0.073388,0.034547,0.014792
3.094958,nan,0.037173,0.016662
3.099958,0.034502,0.039098,0.018711
3.104957,nan,0.042604,0.020942
3.109957,0.242132,0.066889,0.023355
3.114957,nan,0.064266,0.025958
3.119956,0.093009,0.068464,0.028753
3.124956,nan,0.073865,0.031737
3.129956,0.242946,0.096307,0.034904
3.134955,nan,0.099494,0.038253
3.139955,0.178773,0.116180,0.041785
3.144954,nan,0.116139,0.045490
3.149954,0.130080,0.120217,0.049365
3.154954,nan,0.123381,0.053398
3.159953,0.097877,0.120262,0.057584
3.164953,nan,0.120171,0.061911
3.169953,-0.146322,0.094912,0.066367
3.174952,nan,0.101399,0.070945
3.179952,0.208276,0.114639,0.075643
3.184952,nan,0.125523,0.080467
3.189951,-0.116356,0.102060,0.085420
3.194951,nan,0.107886,0.090503
3.199950,0.083579,0.107730,0.095707
3.204950,nan,0.119285,0.101023
3.209950,0.180990,0.131686,0.106444
3.214949,nan,0.141574,0.111963
3.219949,0.189486,0.149165,0.117570
3.224949,nan,0.157185,0.123261
3.229948,0.125096,0.159772,0.129036
